Name,URL,Duration,UpdateInterval,StartOn,EndBy,Cache
Exhibit01,https://github.com/YHIntern/Exhibit/raw/main/Current_Photos/YHScourtyard.jpg,0:00:10,1:00:00,1/1/18 0:00,12/31/30 23:59,yes
Exhibit01,https://github.com/YHIntern/Exhibit/raw/main/Current_Photos/YHSeastelevationjpg.jpg,0:00:10,1:00:00,1/1/18 0:00,12/31/30 23:59,yes
Exhibit01,https://github.com/YHIntern/Exhibit/raw/main/Current_Photos/YHSentryextrasky.jpg,0:00:10,1:00:00,1/1/18 0:00,12/31/30 23:59,yes
Exhibit01,https://github.com/YHIntern/Exhibit/raw/main/Current_Photos/ssfieldentry.jpg,0:00:10,1:00:00,1/1/18 0:00,12/31/30 23:59,yes
Exhibit01,https://github.com/YHIntern/Exhibit/raw/main/Current_Photos/sslobby.jpg,0:00:10,1:00:00,1/1/18 0:00,12/31/30 23:59,yes
Exhibit01,https://github.com/YHIntern/Exhibit/raw/main/Current_Photos/2ndfloor.jpg,0:00:10,1:00:00,1/1/18 0:00,12/31/30 23:59,yes
Exhibit01,https://github.com/YHIntern/Exhibit/raw/main/Current_Photos/3rdfloor.jpg,0:00:10,1:00:00,1/1/18 0:00,12/31/30 23:59,yes
Exhibit01,https://github.com/YHIntern/Exhibit/raw/main/Current_Photos/LittleSchool.JPG,0:00:10,1:00:00,1/1/18 0:00,12/31/30 23:59,yes
Exhibit01,https://github.com/YHIntern/Exhibit/raw/main/Current_Photos/NotforOurselvesAlone.jpg,0:00:10,1:00:00,1/1/18 0:00,12/31/30 23:59,yes
Exhibit01,https://github.com/YHIntern/Exhibit/raw/main/Current_Photos/SSentrysky.jpg,0:00:10,1:00:00,1/1/18 0:00,12/31/30 23:59,yes
